Content,Clean_Tweet,Date,Thème TEner,Thème Énergétique,Thème TEco,Thème Écologique
L’Allemagne est un exemple d’une transition écologique réussit 🥰,"['allemagne', 'écologique', 'réussir']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 12,Écologie et construction de bâtiments durables
"Jeudi, quatre députées du camp présidentiel se sont officiellement détachées du groupe Renaissance à l’Assemblée. L’ancienne ministre de la Transition écologique Barbara Pompili et ses collègues Cécile Rilhac, Stella Dupont et Mireille Clapot, toutes membres du microparti En commun,","['jeudi', 'députer', 'camp', 'présidentiel', 'officiellement', 'détacher', 'groupe', 'renaissance', 'assemblée', 'ancien', 'ministre', 'écologique', 'barbara', 'pompili', 'collègue', 'cécile', 'rilhac', 'stella', 'dupont', 'mireill', 'clapot', 'membre', 'microparti', 'commun']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 9,Politiques écologiques du président Emmanuel Macron
"Dans un monde en constante mutation, comment former aux emplois verts ? _x000D_
_x000D_
Discutons-en ensemble de la manière d’investir dans le capital humain pour accélérer la transition écologique. En direct, le 14 avril à 17h30 GMT. wrld.bg/F5r250NHfcN #ReshapingDevelopment","['monde', 'constant', 'mutation', 'former', 'emploi', 'vert', 'x000d', 'x000d', 'discutonsen', 'ensembl', 'manière', 'investir', 'capital', 'humain', 'accélérer', 'écologique', 'direct', '17h30', 'gmt', 'wrldbgf5r250nhfcn', 'reshapingdevelopment']",2023-04-13,Thème 13,Politique énergétique en Allemagne,Thème 8,Collectivités territoriales et développement durable
"Merci à @EcotechQuebec de reconnaître le leadership de la @MTL_Ville en transition écologique et en accompagnement aux entreprises!🌳_x000D_
_x000D_
#polmtl","['ecotechquebec', 'reconnaître', 'leadership', 'mtlvill', 'écologique', 'accompagnemer', 'entreprise', 'x000d', 'x000d', 'polmtl']",2023-04-13,Thème 12,Innovation dans le secteur de l'énergie,Thème 3,Énergie et économie vers une société écologique
On dit « transition écologique vers le zéro carbonara ».,"['écologique', 'zéro', 'carbonara']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 14,Agricultures et politiques environnementales
Je suis très fier d’avoir reçu au nom de la @MTL_Ville le prix “Innovant de nature” octroyé par @EcotechQuebec pour souligner notre leadership en transition écologique et le soutien offert par la Ville au virage vert des entreprises. Merci pour cette reconnaissance. 🙏#polmtl,"['fier', 'recevoir', 'nom', 'mtlvill', 'prix', 'innover', 'nature', 'octroyer', 'ecotechquebec', 'souligner', 'leadership', 'écologique', 'soutien', 'offrir', 'ville', 'virage', 'vert', 'entreprise', 'reconnaissance', 'polmtl']",2023-04-13,Thème 4,Financement et développement public,Thème 1,Soutien et financement de projets écologiques
"La troll qui a des intérêts dans les énergies fossiles, c est cette troll qui va faire la transition écologique 🤣🤣😂_x000D_
On nous prend pour des cons c est comme ceux du gouvernement et des députés renaissance ils votent des lois favorables à leurs intérêts.","['troll', 'intérêt', 'énergie', 'fossile', 'troll', 'écologique', 'x000d', 'prendre', 'con', 'gouvernement', 'députer', 'renaissance', 'voter', 'loi', 'favorable', 'intérêt']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 3,Énergie et économie vers une société écologique
"Coucou Agnès, pour faire avancer la transition écologique, merci d'avance pour votre démissionner, bisous","['coucou', 'agnès', 'avancer', 'écologique', 'davance', 'démissionner', 'bisou']",2023-04-13,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 13,Entreprises et transition écologique
@dalkia s’engage dans la féminisation de ses métiers. Nous sommes convaincus que la mixité est gage de performance et que la transition écologique ne peut pas se faire sans les femmes.,"['dalkia', 'engager', 'féminisation', 'métier', 'convaincre', 'mixité', 'gage', 'performance', 'écologique', 'femme']",2023-04-13,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 14,Agricultures et politiques environnementales
La superbe transition écologique allemande sans nucléaire 😍😍 :,"['superbe', 'écologique', 'allemand', 'nucléaire']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 12,Écologie et construction de bâtiments durables
"Vous êtes un génie. On fait ça pour les retraites, la transition écologique, les frites à la cantine, ma nouvelle Xbox. Trop bien. Et j’arrête de bosser, M. Arnault paiera mon loyer. Et on fait ça pour les 67 millions de français._x000D_
Bravo pour cette idée géniale !!","['génie', 'retraite', 'écologique', 'frit', 'cantin', 'nouveau', 'xbo', 'arrêter', 'bosser', 'arnault', 'payer', 'loyer', 'million', 'françaisx000d', 'idée', 'génial']",2023-04-13,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 6,Emploi et industrie écologique
Transition écologique : tout ou presque reste à faire en matière de politique alimentaire en France ouest-france.fr/societe/alim… via @ouestfrance,"['écologique', 'presque', 'matière', 'politique', 'alimentaire', 'france', 'ouestfrancefrsocietealim', 'ouestfrance']",2023-04-13,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 3,Énergie et économie vers une société écologique
Transition écologique ça vous parle ?,['écologique'],2023-04-13,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"⁃ Question orale sans débat -_x000D_
_x000D_
Retrouvez ma question à Christophe Béchu, Ministre de la Transition écologique et de la Cohésion des territoires, lors du débat sur l’impact de l’écologie punitive sur l’inflation et le pouvoir d’achat. _x000D_
_x000D_
#directan_x000D_
#écologiepunitive_x000D_
#inflation_x000D_
#an","['question', 'oral', 'débat', 'x000d', 'x000d', 'retrouver', 'question', 'christophe', 'béchu', 'ministre', 'écologique', 'cohésion', 'territoire', 'débat', 'impact', 'écologie', 'punitif', 'inflation', 'pouvoir', 'achat', 'x000d', 'x000d', 'directanx000d', 'écologiepunitivex000d', 'inflationx000d']",2023-04-13,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
"🌾🐞 #Agriculture #Biodiversité: merci @Agreenium pr l'invitation à présenter l'enseignement agricole en matière de protection #environnement!_x000D_
_x000D_
🌳🐮 @AgroParisTech forme les futurs ingés #agro & fonctionnaires @Agri_Gouv aux enjeux transition #écologique._x000D_
_x000D_
piped.video/watch?v=hmPQH5ZN…","['agriculture', 'biodiversité', 'agreenium', 'pr', 'linvitation', 'présenter', 'lenseignement', 'agricole', 'matière', 'protection', 'environnementx000d', 'x000d', 'agroparistech', 'forme', 'futur', 'ingé', 'agro', 'fonctionnaire', 'agrigouv', 'enjeu', 'écologiquex000d', 'x000d', 'pipedvideowatchvhmpqh5zn']",2023-04-13,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 14,Agricultures et politiques environnementales
"Mais je ne veux pas que vous baissiez mes impôts dès lors qu’ils servent pour l’école, l’hôpital, la transition écologique, les collectivités ! Mais je veux que les ultra riches en paient plus que moi et que mes impôts ne servent pas à engraisser les entreprises du cac 40 !","['veux', 'baissiez', 'impôt', 'servir', 'école', 'hôpital', 'écologique', 'collectivité', 'veux', 'ultra', 'riche', 'payer', 'impôt', 'servir', 'engraisser', 'entreprise', 'cac']",2023-04-13,Thème 4,Financement et développement public,Thème 0,Politiques environnementales et écologiques du gouvernement français
Amélie Oudéa-Castéra et Clément Beaune ont présidé le quatrième ... - Ministère de la Transition écologique ecologie.gouv.fr/amelie-oude… #Paris #Transport #RATP #RER #Transilien #SNFC,"['amélie', 'oudéacastéra', 'clément', 'beaun', 'présider', 'ministèr', 'écologique', 'ecologiegouvframelieoude', 'pari', 'transport', 'ratp', 'rer', 'transilien', 'snfc']",2023-04-13,Thème 0,Politique énergétique et environnementale,Thème 8,Collectivités territoriales et développement durable
Retour en images au lancement du Conseil de Transition Écologique. C'est une instance qui permet d'observer les actions de la collectivité et les évolutions sur le territoire d'Orvault en matière de transition écologique.,"['image', 'lancement', 'conseil', 'écologique', 'instance', 'dobserver', 'action', 'collectiviter', 'évolution', 'territoir', 'dorvault', 'matière', 'écologique']",2023-04-13,Thème 6,Emploi et dynamique économique,Thème 6,Emploi et industrie écologique
"Le ministre C. Béchu confirme les informations de ""Marianne"" _x000D_
Le ministre de la Transition écologique a confirmé que des rencontres avaient bien eu lieu au sommet de l'État pour discuter de la possibilité d'échanger de l'eau douce française contre des hydrocarbures étrangers.","['ministre', 'béchu', 'confirmer', 'information', 'mariann', 'x000d', 'ministre', 'écologique', 'confirmer', 'rencontre', 'sommet', 'létat', 'discuter', 'possibilité', 'déchanger', 'leau', 'doux', 'français', 'hydrocarbure', 'étranger']",2023-04-13,Thème 2,Énergie renouvelable et développement international,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Et ce, alors que ceux dont c'est le taff réel de faire avancer la transition ecologique, s'interrogent sur la manière d'associer tout le monde, surtout ceux qui ajd ne se sentent pas concernés (parce que personne ne leur parle) ; les classes pop, les 3e génération...","['taff', 'réel', 'avancer', 'ecologique', 'sinterrogent', 'maniérer', 'dassocier', 'monde', 'ajd', 'sentir', 'concerner', 'classe', 'pop', 'troisième', 'génération']",2023-04-14,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
Jancovici et Barrault répètent à l’envie que les démocraties st entravantes pr la transition écologique. Pas la peine de rameuter l’extreme drouatte. La bourgeoisie suffira. Historiquement ça ne lui pose jamais de problème,"['jancovici', 'barrault', 'répéter', 'envier', 'démocratier', 'st', 'entraver', 'pr', 'écologique', 'peine', 'rameuter', 'extreme', 'drouatte', 'bourgeoisi', 'suffire', 'historiquement', 'pos', 'problèm']",2023-04-14,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 9,Politiques écologiques du président Emmanuel Macron
"Vous pensez donc que 30% des Français, ceux qui votent Le Pen ou Zemmour, sont racistes, xénophobes, misogynes, homophobes ? Donc vous voulez faire la transition écologique sans eux si je comprends bien ! Mais qui est donc fasciste ?","['penser', 'français', 'voter', 'pen', 'zemmour', 'raciste', 'xénophobe', 'misogyne', 'homophobe', 'vouloir', 'écologique', 'comprend', 'fasciste']",2023-04-14,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
C'est beau la transition écologique à l'allemande...,"['écologique', 'lallemand']",2023-04-14,Thème 0,Politique énergétique et environnementale,Thème 14,Agricultures et politiques environnementales
Appuyé la progression de l'écologie (de plus en plus hégémonique comme objectif) chez les facho. C'est pas assurer la transition écologique le plus tôt possible. Le capitalisme est encore la. Et tant qu'il sera là aucune transition écologique viable ne sera possible.,"['appuyer', 'progression', 'lécologie', 'hégémonique', 'objectif', 'facho', 'assurer', 'écologique', 'tôt', 'capitalisme', 'écologique', 'viable']",2023-04-14,Thème 1,Production d'énergie et transition énergétique,Thème 14,Agricultures et politiques environnementales
La transition écologique va produire du chômage - fr.irefeurope.org/publicatio…,"['écologique', 'produire', 'chômage', 'frirefeuropeorgpublicatio']",2023-04-14,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 14,Agricultures et politiques environnementales
"Mais la transition écologique est différente à mon sens. C’est dur, c’est long et ça va demander des efforts soutenus et massifs de tous. Le RN ne va pas disparaitre, ses électeurs non plus on doit donc les convaincre de la nécessite de faire ces efforts non ?","['écologique', 'sens', 'dur', 'long', 'demander', 'effort', 'soutenir', 'massif', 'rn', 'disparaitre', 'électeur', 'convaincr', 'nécessiter', 'effort']",2023-04-14,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 1,Soutien et financement de projets écologiques
"« Retour à la terre » : l’école Arche de Noé à Bourgbarré, s’engage dans une transition écologique pour les années à venir. Pour symboliser cet engagement, une fresque en terre crue a été réalisée par un artiste et les élèves. Très belle performance à découvrir !","['terre', 'école', 'arche', 'noé', 'bourgbarré', 'engager', 'écologique', 'anner', 'venir', 'symboliser', 'engagement', 'fresqu', 'terr', 'croire', 'réaliser', 'artiste', 'élève', 'beau', 'performance', 'découvrir']",2023-04-14,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 14,Agricultures et politiques environnementales
"Tu aurais dû venir au meeting de Nantes, il mettait l'eau au coeur d'une politique de transition écologique. _x000D_
piped.video/watch?v=vdxHe12l…","['devoir', 'venir', 'meeting', 'nante', 'mettre', 'leau', 'coeur', 'politique', 'écologique', 'x000d', 'pipedvideowatchvvdxhe12l']",2023-04-14,Thème 6,Emploi et dynamique économique,Thème 5,Économie et écologie : enjeux et perspectives
"Le bout de gras devient rare... Il faut passer à un autre type de sté. _x000D_
Les peuples vont payer le prix de la transition écologique et celui de l emergence de l IA. _x000D_
C est ainsi que ceux qui détiennent le pouvoir s organisent pour le garder dans rien débourser...","['bout', 'gras', 'devenir', 'passer', 'type', 'sté', 'x000d', 'peuple', 'payer', 'prix', 'écologique', 'emergence', 'ia', 'x000d', 'détenir', 'pouvoir', 'organiser', 'garder', 'débourser']",2023-04-14,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 3,Énergie et économie vers une société écologique
"#retraites 5. La solidarité nationale s'est effrittée, le Parlement n'ayant ni voté le texte ni censuré le gvt, et aucune unité ne s'est construite sur les autres sujets vitaux restés enjachère : santé défense transition écologique... Que de temps gâché","['retraite', 'solidarité', 'national', 'sest', 'effritter', 'parlement', 'nayer', 'voter', 'texte', 'censurer', 'gvt', 'unité', 'sest', 'construire', 'sujet', 'vital', 'resté', 'enjachèr', 'santé', 'défense', 'écologique', 'temps', 'gâcher']",2023-04-14,Thème 13,Politique énergétique en Allemagne,Thème 5,Économie et écologie : enjeux et perspectives
"🌱Face à la crise du bio, la FNSEA réclame un plan massif de soutien au gouvernement. Il faut sauver les producteurs et les filières engagés dans la transition écologique. 🙏Rejoignez notre mobilisation sur Twitter avec le hashtag #SOSBio 🚜","['crise', 'bio', 'fnsea', 'réclame', 'plan', 'massif', 'soutien', 'gouvernement', 'sauver', 'producteur', 'filière', 'engager', 'écologique', 'rejoindre', 'mobilisation', 'twitter', 'hashtag', 'sosbio']",2023-04-14,Thème 12,Innovation dans le secteur de l'énergie,Thème 1,Soutien et financement de projets écologiques
La transition écologique et une meilleure qualité de vie passe par la souveraineté.,"['écologique', 'meilleur', 'qualité', 'vie', 'passe', 'souveraineté']",2023-04-14,Thème 12,Innovation dans le secteur de l'énergie,Thème 4,Santé et développement durable
"J.b Moreau est censé persuadé, mais en réalité, ce serait une BONNE NOUVELLE ! 🥳 “@hugoclement, ministre de la transition écologique” ☘️","['jb', 'moreau', 'censé', 'persuader', 'réalité', 'nouveau', 'hugoclement', 'ministre', 'écologique']",2023-04-14,Thème 0,Politique énergétique et environnementale,Thème 0,Politiques environnementales et écologiques du gouvernement français
Yen a bien qui se disent ecolos et veulent fermer toutes les centrales nucléaires en bandant sur le désastre écologique qu’est la transition écologique allemande,"['yen', 'dire', 'ecolos', 'fermer', 'central', 'nucléaire', 'bander', 'désastre', 'écologique', 'écologique', 'allemand']",2023-04-14,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
"Ah oui Dubai, cette ville modèle en matière de transition écologique 👏","['dubai', 'ville', 'modèle', 'matière', 'écologique']",2023-04-14,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
🧐🤔La transition écologique va produire du chômage - fr.irefeurope.org/publicatio…,"['écologique', 'produire', 'chômage', 'frirefeuropeorgpublicatio']",2023-04-14,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 14,Agricultures et politiques environnementales
"Convaincre le RN a prendre en main un programme écolo... C'est complètement con. L'adn du RN est justement la sécurisation du capital, des biens et des rapports de domination, pour ne jamais rien changer. Aucun élément de transition écologique sérieux n'est accessible par nature.","['convaincr', 'rn', 'prendre', 'main', 'programm', 'écolo', 'complètement', 'con', 'ladn', 'rn', 'justement', 'sécurisation', 'capital', 'bien', 'rapport', 'domination', 'changer', 'élément', 'écologique', 'sérieux', 'accessible', 'nature']",2023-04-14,Thème 12,Innovation dans le secteur de l'énergie,Thème 11,Réformes écologiques et environnementales en France
"Comment ré industrialiser notre pays, comment retrouver notre souveraineté économique, comment allier croissance et transition écologique ? Parlons économie le 19 avril à 20:30 à la mairie de @vesinetofficiel","['ré', 'industrialiser', 'retrouver', 'souveraineté', 'économique', 'allier', 'croissance', 'écologique', 'parlon', 'économi', 'mairie', 'vesinetofficiel']",2023-04-14,Thème 1,Production d'énergie et transition énergétique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"C'est la transition écologique, ça touche aussi les vélos 😹","['écologique', 'touch', 'vélo']",2023-04-14,Thème 13,Politique énergétique en Allemagne,Thème 0,Politiques environnementales et écologiques du gouvernement français
"La #Chine menace d'un embargo sur les terres rares : on se retrouve [ capital.fr ] Les terres rares sont la #Colonne vertebrale de la tres vertueuse transition ecologique et de certaines industries #Hightech, et dans celles de la Defense.","['chine', 'menacer', 'embargo', 'terre', 'retrouver', 'capitalfr', 'terre', 'colonne', 'vertebral', 'vertueux', 'ecologiqu', 'industrie', 'hightech', 'defense']",2023-04-15,Thème 7,Actualités économiques et environnementales,Thème 2,Évolution de l'écologie et de l'environnement dans le temps
Arrêté du 21 mars 2023 fixant la liste des emplois d'ingénieur en chef des travaux publics de l'Etat du 1er et du 2e groupe au sein des services du ministère de la transition écologique et de la cohés... #ARRETE legifrance.gouv.fr/jorf/id/J…,"['arrêter', 'fixer', 'liste', 'emploi', 'dingénieur', 'chef', 'traval', 'public', 'letat', 'premier', 'groupe', 'service', 'ministèr', 'écologique', 'cohé', 'arrete', 'legifrancegouvfrjorfidj']",2023-04-15,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Si le #président et le #gouvernement avaient mis autant de détermination et de combativité dans la défense de l'environnement que dans la réforme des retraites, nous serions à l'heure actuelle le leader mondial de la transition écologique. _x000D_
#environnement #France","['président', 'gouvernement', 'mettre', 'détermination', 'combativité', 'défense', 'lenvironnement', 'réforme', 'retraite', 'lheur', 'actuel', 'leader', 'mondial', 'écologique', 'x000d', 'environnement', 'france']",2023-04-15,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
"Pierre Charbonnier : « Dire que la transition écologique menace les libertés, c'est de la mauvaise foi » alternatives-economiques.fr/… via @AlterEco_","['pierre', 'charbonnier', 'écologique', 'menacer', 'liberté', 'mauvais', 'foi', 'alternativeseconomiquesfr', 'altereco']",2023-04-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
vraiment le sujet est très intéressant mais tellement frustrant la terre brûle macron en a rien à branler de chez rien à branler et moi je dois écrire 50 pages sur comment un secteur piétiné par le gouvernement et en total manque de moyen doit faire sa transition écologique ?🧍‍♀️,"['intéressant', 'frustrant', 'terre', 'brûler', 'macron', 'branler', 'branler', 'doi', 'écrir', 'page', 'secteur', 'piétiner', 'gouvernement', 'total', 'manqu', 'moyen', 'écologique']",2023-04-15,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 2,Évolution de l'écologie et de l'environnement dans le temps
"PPL modifiée, par le Sénat, portant fusion des filières à responsabilité élargie des producteurs d'emballages ménagers et des producteurs de papier et amplification des encarts publicitaires destinés à informer le public sur la transition écologique assemblee-nationale.fr/dyn/o…","['ppl', 'modifier', 'sénat', 'porter', 'fusion', 'filière', 'responsabilité', 'élargie', 'producteur', 'demballage', 'ménager', 'producteur', 'papier', 'amplification', 'encart', 'publicitaire', 'destiner', 'informer', 'public', 'écologique', 'assembleenationalefrdyno']",2023-04-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 1,Soutien et financement de projets écologiques
"Rapport d'information sur l'accélération de l'investissement des collectivités territoriales dans la transition écologique, à la suite des rencontres organisées le 2 février 2023 par la Délégation (M. Thomas Cazenave) assemblee-nationale.fr/dyn/o…","['rapport', 'dinformation', 'laccélération', 'linvestissement', 'collectivité', 'territorial', 'écologique', 'suite', 'rencontre', 'organiser', 'février', 'délégation', 'thoma', 'cazenav', 'assembleenationalefrdyno']",2023-04-15,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 5,Économie et écologie : enjeux et perspectives
“La Terre est la limite”: Ecolo préconise d'accélérer la transition écologique de l'économie en Wallonie dlvr.it/SmXy7j,"['terre', 'limite', 'ecolo', 'préconiser', 'daccélérer', 'écologique', 'léconomie', 'wallonie', 'dlvritsmxy7j']",2023-04-15,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 3,Énergie et économie vers une société écologique
"« Bâtir notre indépendance 🇫🇷 et 🇪🇺 pour être maître de notre destin »@Elisabeth_Borne _x000D_
_x000D_
Plein emploi et égalité des chances, réindustrialisation et transition écologique, éducation et jeunesse,_x000D_
logement: nous sommes tous engagés et mobilisés!","['bâtir', 'indépendance', 'maître', 'destin', 'elisabethborn', 'x000d', 'x000d', 'emploi', 'égalité', 'chance', 'réindustrialisation', 'écologique', 'éducation', 'jeunessex000d', 'logement', 'engager', 'mobiliser']",2023-04-15,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 1,Soutien et financement de projets écologiques
Bonjour l’étalement sur les terres fertiles... vous n’avez pas mieux pour la Transition écologique ?,"['bonjour', 'étalement', 'terre', 'fertile', 'écologique']",2023-04-15,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 1,Soutien et financement de projets écologiques
Ecolo préconise d’accélérer la transition écologique de l’économie en Wallonie sudinfo.be/id650627/article/…,"['ecolo', 'préconiser', 'accélérer', 'écologique', 'économie', 'wallonie', 'sudinfobeid650627article']",2023-04-15,Thème 6,Emploi et dynamique économique,Thème 3,Énergie et économie vers une société écologique
🌱 Green session on the pink carpet tonight ! « La transition écologique dans les séries » on en parle à #CANNESERIES 💖 #Cannes 🌴,"['green', 'session', 'pink', 'carpet', 'tonight', 'écologique', 'série', 'canneserie', 'canne']",2023-04-15,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 14,Agricultures et politiques environnementales
"Ah, peut-être enfin des progrès du côté de la transition écologique 🤗","['peutêtre', 'progrè', 'côté', 'écologique']",2023-04-15,Thème 3,Stratégies économiques et environnementales,Thème 3,Énergie et économie vers une société écologique
Ecolo préconise d’accélérer la transition écologique de l’économie en Wallonie sudinfo.be/id650627/article/…,"['ecolo', 'préconiser', 'accélérer', 'écologique', 'économie', 'wallonie', 'sudinfobeid650627article']",2023-04-15,Thème 6,Emploi et dynamique économique,Thème 3,Énergie et économie vers une société écologique
"Que pensez vous du ministre français de la transition écologique qui rencontre en France son homologue canadien pour ""discuter"" comme ils disent de coopération?","['penser', 'ministre', 'français', 'écologique', 'rencontre', 'france', 'homologue', 'canadien', 'discuter', 'dire', 'coopération']",2023-04-15,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
Ecolo préconise d'accélérer la transition écologique de l'économie en Wallonie dhnet.be/actu/belgique/2023/…,"['ecolo', 'préconiser', 'daccélérer', 'écologique', 'léconomie', 'wallonie', 'dhnetbeactubelgique2023']",2023-04-15,Thème 4,Financement et développement public,Thème 3,Énergie et économie vers une société écologique
"Car nous savons l'importance de la transition écologique et de la protection environnementale. Autant améliorer ces points, plutôt que de reprocher au parti un climatoscepticisme. Ça devrait vous ravir non ?","['savon', 'limportance', 'écologique', 'protection', 'environnemental', 'améliorer', 'point', 'reprocher', 'partir', 'climatoscepticisme', 'ravir']",2023-04-15,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 2,Évolution de l'écologie et de l'environnement dans le temps
Commençons la transition écologique. #PasDeRetraitPasDeJO,"['commençon', 'écologique', 'pasderetraitpasdejo']",2023-04-15,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Un article de Alternatives Économiques : Pierre Charbonnier : « Dire que la transition écologique menace les libertés, c'est de la mauvaise foi » - alternatives-economiques.fr/…","['article', 'alternativer', 'économique', 'pierre', 'charbonnier', 'écologique', 'menacer', 'liberté', 'mauvais', 'foi', 'alternativeseconomiquesfr']",2023-04-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Il va falloir arrêter de reprocher aux politiques de manquer de courage pour les décisions impopulaires_x000D_
_x000D_
Si vous arrivez au pouvoir, ce que vous prônez (parfois à raison) sur la transition écologique sera TRÈS impopulaire. Vous pourriez regretter amèrement vos postures actuelles","['falloir', 'arrêter', 'reprocher', 'politique', 'manquer', 'courage', 'décision', 'impopulairesx000d', 'x000d', 'arriver', 'pouvoir', 'prôner', 'raison', 'écologique', 'impopulaire', 'pouvoir', 'regretter', 'amèrement', 'posture', 'actuel']",2023-04-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 12,Écologie et construction de bâtiments durables
"La guerre, l'inflation, l'enfumerie pharma, l'énergie et la transition écologique, l'eau, la 5e république (et sa constitution) ... c'est quand même dingue qu'aucun programme politique n'ai pu anticiper et proposer une vraie vision pour la société FR. Oh wait ..! 😏","['guerre', 'linflation', 'lenfumerie', 'pharma', 'lénergie', 'écologique', 'leau', 'cinquième', 'républiqu', 'constitution', 'dingue', 'quaucun', 'programme', 'politique', 'nai', 'anticiper', 'proposer', 'vrai', 'vision', 'société', 'fr', 'wer']",2023-04-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 5,Économie et écologie : enjeux et perspectives
"faut tellement etre déconnecté pour ne meme pas s'imaginer que des gens n'aiment pas travailler. Et ca c'est ministre du travail quand meme hein, entre lui et le ministre de la transition écologique qui ne croit pas en la transition écologique...","['déconnecter', 'simaginer', 'naimer', 'travailler', 'ministre', 'travail', 'ministre', 'écologique', 'croit', 'écologique']",2023-04-16,Thème 6,Emploi et dynamique économique,Thème 8,Collectivités territoriales et développement durable
"PUCA - Plan Urbanisme Construction Architecture un acteur clé de la transition écologique et énergétique dans les domaines de la construction de l'urbanisme et de l'aménagement_x000D_
piloté excellemment par Helene Peskine lnkd.in/enpuQjyX","['puca', 'plan', 'urbanisme', 'construction', 'architectur', 'acteur', 'clé', 'écologique', 'domaine', 'construction', 'lurbanism', 'laménagementx000d', 'piloter', 'excellemment', 'helene', 'peskine', 'lnkdinenpuqjy']",2023-04-16,Thème 13,Politique énergétique en Allemagne,Thème 11,Réformes écologiques et environnementales en France
"Et tout cas pour finalement par le plus grand des hasard ou de la pure illusion être propulsée secrétaire d'état à la transition écologique. Elle nous vend des éoliennes et du photovoltaique._x000D_
Ça c'est la femme qui va bien au poste qui va bien._x000D_
Des compétences indéniables.","['cas', 'finalement', 'grand', 'hasard', 'illusion', 'propulser', 'secrétair', 'détat', 'écologique', 'vendre', 'éolien', 'photovoltaiquex000d', 'femme', 'post', 'bienx000d', 'compétence', 'indéniable']",2023-04-16,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 1,Soutien et financement de projets écologiques
"Tiens, Séverine, à Bruxelles, et grâce à Ecolo, on a décidé depuis le début de la legislature de dépenser sans plus respecter aucun budget. Tu ne vas pas le dire qu'on va devoir à nouveau en respecter, ça ne serait pas pratique pour subsidier toute notre transition écologique !","['séverine', 'bruxelle', 'ecolo', 'décider', 'legislatur', 'dépenser', 'respecter', 'budget', 'devoir', 'respecter', 'pratique', 'subsidier', 'écologique']",2023-04-16,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
"La réduction des GES dans l'aérien dispose d'autres leviers que la simple concurrence avec le train : La régulation (taxation, nombre de vols autorisés...). Le mythe de la concurrence comme régulateur a vécu, surtout dans le cadre de la transition ecologique.","['réduction', 'ge', 'laérien', 'dispose', 'dautre', 'levier', 'simple', 'concurrence', 'train', 'régulation', 'taxation', 'nombre', 'vol', 'autoriser', 'mythe', 'concurrence', 'régulateur', 'vivre', 'cadre', 'ecologiqu']",2023-04-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 9,Politiques écologiques du président Emmanuel Macron
